=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECMWF ERA5 (0.5x0.5 deg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m Temperature (deg C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values averaged across Specify Point (63.6777N; 291.802E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,MAF,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS,ONDJFMA,AMJJASO,JFM,FMA,AMJ,MJJ,JAS,ASO,OND,NDJ
1940,-18.943,-21.591,-15.266,-9.953,-2.898,2.993,4.256,5.624,2.629,-4.606,-10.543,-22.706,-7.584,,-999,-9.372,4.291,-4.173,-999,-999,-999,-999,2.521,-999,-0.279,-18.6,-15.603,-3.286,1.45,4.169,1.216,-12.619,-999
1941,-20.686,-22.734,-19.017,-15.099,-3.304,2.963,6.406,5.444,1.23,-4.142,-9.996,-21.249,-8.349,,-22.042,-12.473,4.938,-4.303,-8.47,-8.516,-8.554,-19.137,2.548,-16.485,-0.929,-20.812,-18.95,-5.147,2.022,4.36,0.844,-11.796,-17.979
1942,-26.309,-22.717,-14.264,-11.545,-2.865,1.388,5.753,4.76,1.227,-3.39,-8.619,-19.404,-7.999,,-23.425,-9.558,3.967,-3.594,-8.153,-8.267,-8.33,-18.907,2.053,-15.746,-0.668,-21.097,-16.175,-4.341,1.425,3.913,0.865,-10.471,-19.185
1943,-21.886,-28.961,-21.987,-13.225,-4.055,2.121,5.023,4.104,1.533,-3.645,-7.762,-17.022,-8.814,,-23.417,-13.089,3.749,-3.291,-9.012,-9.083,-9.062,-20.172,1.745,-16.782,-1.163,-24.278,-21.391,-5.053,1.03,3.553,0.664,-9.476,-16.637
1944,-24.236,-21.667,-20.001,-8.497,-4.504,2.241,5.062,6.154,1.731,-3.698,-10.363,-19.645,-8.118,,-20.975,-11.001,4.486,-4.11,-7.9,-7.683,-7.679,-18.137,2.137,-14.69,-0.216,-21.968,-16.721,-3.587,0.933,4.316,1.396,-11.235,-16.34
1945,-20.013,-26.47,-17.242,-14.862,-4.279,1.968,4.875,5.28,1.241,-3.584,-10.656,-16.161,-8.325,,-22.043,-12.128,4.041,-4.333,-8.616,-8.591,-8.601,-18.747,1.817,-16.042,-1.337,-21.242,-19.525,-5.724,0.855,3.799,0.979,-10.134,-16.674
1946,-28.442,-23.131,-16.221,-13.334,-2.479,3.54,5.381,5.532,0.683,-4.097,-6.849,-18.757,-8.181,,-22.578,-10.678,4.818,-3.421,-7.965,-8.282,-8.239,-18.922,2.532,-15.933,-0.682,-22.598,-17.562,-4.091,2.148,3.865,0.706,-9.901,-18.42
1947,-23.611,-12.771,-14.394,-12.11,-3.486,2.827,5.296,4.533,1.726,-3.238,-5.815,-14.739,-6.315,,-18.38,-9.996,4.219,-2.442,-6.65,-6.736,-6.808,-15.276,2.179,-13.227,-0.636,-16.925,-13.092,-4.256,1.546,3.852,1.007,-7.93,-16.405
1948,-25.766,-26.306,-24.483,-14.048,-3.077,4.1,7.276,6.412,3.15,-1.899,-7.094,-20.709,-8.537,,-22.27,-13.869,5.929,-1.948,-8.04,-7.933,-8.044,-19.422,3.572,-16.342,0.273,-25.518,-21.612,-4.341,2.766,5.612,2.554,-9.901,-15.44
1949,-27.325,-31.78,-20.935,-15.07,-5.476,3.785,5.879,6.264,1.071,-2.874,-9.566,-15.305,-9.278,,-26.605,-13.827,5.309,-3.79,-9.728,-9.522,-9.441,-21.569,2.304,-17.83,-0.917,-26.68,-22.595,-5.587,1.396,4.404,1.487,-9.248,-18.376
1950,-30.105,-27.171,-16.156,-11.095,-2.473,2.76,5.484,5.388,1.008,-5.441,-9.75,-12.97,-8.377,,-24.194,-9.908,4.544,-4.728,-8.571,-8.556,-8.342,-19.661,2.433,-16.039,-0.624,-24.478,-18.141,-3.603,1.924,3.96,0.318,-9.387,-18.325
1951,-25.278,-27.428,-15.679,-10.995,-3.523,3.701,5.644,5.216,2.576,-4.001,-11.458,-22.066,-8.608,,-21.892,-10.066,4.854,-4.295,-7.85,-7.707,-7.827,-18.221,2.723,-15.363,-0.197,-22.795,-18.034,-3.605,1.941,4.479,1.264,-12.508,-15.999
1952,-26.513,-25.336,-16.913,-11.947,-0.064,3.885,6.206,4.96,1.782,-5.781,-8.185,-14.118,-7.669,,-24.638,-9.641,5.017,-4.061,-8.331,-8.604,-8.455,-20.457,3.354,-16.891,-0.137,-22.921,-18.065,-2.709,3.342,4.316,0.32,-9.361,-20.012
1953,-25.412,-22.404,-20.335,-3.876,-2.121,2.157,5.133,5.538,1.589,-4.376,-10.674,-25.019,-8.317,,-20.645,-8.777,4.276,-4.487,-7.408,-7.201,-7.318,-18.091,2.459,-14.302,0.578,-22.717,-15.538,-1.28,1.723,4.087,0.917,-13.357,-15.905
1954,-29.502,-27.327,-16.239,-14.93,-0.483,3.465,6.908,6.016,2.666,-4.047,-14.12,-18.507,-8.842,,-27.283,-10.551,5.463,-5.167,-9.384,-9.097,-9.125,-21.752,3.714,-18.296,-0.058,-24.356,-19.499,-3.983,3.296,5.197,1.545,-12.225,-21.732
1955,-19.528,-21.72,-18.598,-12.046,-1.021,3.782,6.247,5.828,0.755,0.723,-7.929,-14.965,-6.539,,-19.918,-10.555,5.286,-2.15,-6.835,-7.35,-7.748,-18.495,3.118,-15.509,0.61,-19.949,-17.455,-3.095,3.003,4.277,2.435,-7.39,-17.385
1956,-25.143,-21.328,-20.008,-8.504,-6.2,2.166,5.987,5.9,1.536,-5.04,-15.492,-27.886,-9.501,,-20.479,-11.571,4.684,-6.332,-8.424,-7.794,-7.314,-17.875,1.878,-13.879,-0.594,-22.16,-16.614,-4.18,0.651,4.474,0.799,-16.139,-16.012
1957,-31.324,-22.878,-14.901,-12.396,-4.819,3.423,6.807,5.135,3.465,-4.64,-10.949,-19.334,-8.534,,-27.363,-10.705,5.121,-4.041,-9.247,-9.626,-9.659,-22.496,2.802,-18.56,-0.432,-23.034,-16.725,-4.597,1.803,5.136,1.32,-11.641,-24.901
1958,-19.515,-19.722,-15.051,-12.123,-1.195,3.046,6.293,5.491,2.663,-4.568,-15.244,-19.475,-7.45,,-19.523,-9.456,4.943,-5.717,-7.438,-7.08,-7.086,-16.914,3.259,-14.476,-0.056,-18.096,-15.632,-3.424,2.715,4.815,1.195,-13.096,-16.599
1959,-17.522,-27.987,-23.919,-12.419,-2.824,1.696,5.331,5.174,1.61,-6.324,-8.018,-16.545,-8.479,,-21.661,-13.054,4.067,-4.244,-8.723,-9.325,-9.179,-20.829,2.197,-17.305,-1.108,-23.143,-21.442,-4.516,1.401,4.038,0.153,-10.296,-17.414
1960,-20.3,-13.056,-21.86,-14.531,-1.339,3.3,6.429,5.634,2.198,-1.402,-9.436,-19.367,-6.977,,-16.634,-12.576,5.121,-2.88,-6.742,-6.624,-7.034,-15.956,3.245,-14.376,0.041,-18.405,-16.482,-4.19,2.797,4.754,2.143,-10.068,-14.955
1961,-25.265,-27.504,-26.475,-8.715,-5.564,2.603,7.375,4.854,0.571,-3.306,-10.546,-13.463,-8.786,,-24.045,-13.585,4.944,-4.427,-9.278,-9.186,-9.027,-21.61,1.968,-16.881,-0.312,-26.415,-20.898,-3.892,1.472,4.267,0.706,-9.105,-18.023
1962,-25.396,-30.516,-10.089,-14.242,-5.221,1.488,5.862,5.318,1.861,-4.647,-8.539,-17.821,-8.495,,-23.125,-9.851,4.222,-3.775,-8.132,-8.299,-8.188,-18.002,1.861,-15.366,-1.369,-22,-18.283,-5.992,0.709,4.347,0.844,-10.336,-16.468
1963,-19.798,-17.554,-23.467,-9.523,-4.801,0.437,5.137,5.269,-0.664,-4.792,-9.071,-16.131,-7.913,,-18.391,-12.597,3.614,-4.842,-8.054,-8.01,-7.998,-17.436,1.076,-14.479,-1.277,-20.273,-16.848,-4.629,0.258,3.247,-0.062,-9.998,-15.386
1964,-24.343,-22.68,-27.579,-14.558,-4.146,1.384,5.462,5.857,2.752,-5.582,-10.244,-16.293,-9.164,,-21.051,-15.428,4.234,-4.358,-9.151,-9.053,-8.987,-19.961,2.262,-17.022,-1.262,-24.867,-21.606,-5.773,0.9,4.69,1.009,-10.706,-16.515
1965,-25.704,-22.416,-16.311,-13.051,-0.595,1.859,5.697,3.959,1.023,-7.314,-9.671,-23.246,-8.814,,-21.471,-9.986,3.838,-5.321,-8.235,-8.283,-8.138,-18.194,2.388,-15.657,-1.203,-21.477,-17.259,-3.929,2.32,3.56,-0.777,-13.41,-17.414
1966,-21.903,-20.466,-20.351,-9.497,-4.725,1.346,6.157,6.4,3.352,-0.899,-9.23,-18.186,-7.334,,-21.872,-11.524,4.634,-2.259,-7.755,-7.792,-8.327,-19.127,2.506,-16.064,0.305,-20.907,-16.771,-4.292,0.926,5.303,2.951,-9.438,-18.273
1967,-21.853,-33.056,-22.563,-15.529,-1.503,1.722,5.006,5.252,0.449,-4.654,-11.923,-17.93,-9.715,,-24.365,-13.198,3.993,-5.376,-9.736,-9.512,-9.199,-20.978,2.185,-17.331,-1.322,-25.824,-23.716,-5.103,1.742,3.569,0.349,-11.503,-16.423
1968,-24.536,-21.288,-23.516,-8.311,-2.712,2.262,4.823,5.335,3.12,0.191,-9.149,-14.304,-7.34,,-21.252,-11.513,4.14,-1.946,-7.642,-7.874,-8.277,-19.839,2.566,-16.023,0.673,-23.113,-17.705,-2.92,1.458,4.426,2.882,-7.754,-18.13
1969,-17.329,-14.253,-19.244,-16.063,-3.499,1.782,6.758,5.538,1.169,-4.098,-7.508,-16.601,-6.946,,-15.295,-12.935,4.693,-3.479,-6.754,-6.891,-6.534,-14.856,2.35,-12.879,-1.202,-16.942,-16.52,-5.927,1.68,4.488,0.87,-9.402,-13.594
1970,-20.735,-23.342,-16.474,-13.787,-5.5,0.998,4.505,4.72,1.659,-2.599,-8.85,-23.165,-8.548,,-20.226,-11.92,3.407,-3.263,-8.001,-7.889,-8.014,-16.932,1.276,-14.649,-1.429,-20.184,-17.868,-6.096,0.001,3.628,1.26,-11.538,-14.948
1971,-20.134,-25.232,-15.787,-11.081,-4.144,1.916,4.413,5.026,1.131,-2.895,-9.031,-23.37,-8.266,,-22.844,-10.337,3.785,-3.598,-8.249,-8.233,-8.209,-18.634,1.668,-15.264,-0.805,-20.385,-17.367,-4.436,0.728,3.523,1.087,-11.765,-17.383
1972,-29.393,-28.393,-24.34,-11.466,-5.381,-0.582,3.528,3.443,0.117,-5.459,-12.386,-26.681,-11.416,,-27.052,-13.729,2.13,-5.909,-11.14,-10.861,-10.647,-22.905,0.225,-18.413,-2.257,-27.375,-21.4,-5.81,-0.812,2.363,-0.633,-14.842,-20.598
1973,-25.656,-26.704,-20.879,-11.909,-2.965,2.323,5.543,6.234,2.749,-1.956,-5.385,-19.155,-8.147,,-26.347,-11.918,4.7,-1.531,-8.774,-9.357,-9.649,-22.461,2.777,-18.525,0.003,-24.413,-19.831,-4.184,1.634,4.842,2.342,-8.832,-21.574
1974,-27.693,-22.671,-22.026,-14.839,-2.659,4.007,6.46,4.983,0.577,-3.784,-9.599,-23.285,-9.211,,-23.173,-13.174,5.15,-4.269,-8.867,-8.515,-8.363,-19.386,2.674,-16.247,-0.751,-24.13,-19.845,-4.497,2.603,4.007,0.592,-12.223,-17.411
1975,-26.833,-22.432,-21.135,-13.247,-1.952,4.58,6.148,6.272,1.704,-2.601,-9.492,-18.167,-8.096,,-24.184,-12.111,5.667,-3.463,-8.523,-8.532,-8.63,-20.657,3.35,-17.188,0.129,-23.467,-18.938,-3.54,2.925,4.708,1.792,-10.086,-19.906
1976,-23.129,-27.366,-22.424,-12.221,-2.054,1.944,4.374,4.233,1.133,-7.35,-9.555,-17.903,-9.193,,-22.887,-12.233,3.517,-5.257,-9.215,-9.21,-8.814,-20.115,1.926,-16.485,-1.42,-24.306,-20.67,-4.11,1.421,3.247,-0.661,-11.602,-16.929
1977,-14.088,-22.356,-14.176,-12.047,-2.136,3.417,5.918,4.723,1.776,-2.982,-5.748,-19.534,-6.436,,-18.116,-9.453,4.686,-2.318,-6.3,-6.617,-6.981,-15.616,2.74,-13.925,-0.19,-16.873,-16.193,-3.589,2.4,4.139,1.173,-9.421,-13.849
1978,-27.67,-20.287,-23.626,-14.256,-4.801,0.845,4.827,4.498,1.236,-6.5,-15.668,-14.791,-9.683,,-22.497,-14.228,3.39,-6.977,-10.078,-9.251,-8.958,-19.373,1.321,-16.3,-2.022,-23.861,-19.39,-6.071,0.29,3.52,-0.256,-12.32,-17.65
1979,-19.044,-27.362,-19.459,-9.353,-0.758,2.019,5.428,4.874,1.661,-3.229,-10.725,-19.563,-7.959,,-20.399,-9.857,4.107,-4.098,-7.562,-7.974,-8.246,-19.265,2.645,-16.025,0.092,-21.955,-18.725,-2.698,2.229,3.988,1.102,-11.173,-16.501
1980,-17.492,-21.029,-16.904,-13.025,-0.946,2.909,5.886,6.387,1.204,-3.025,-7.601,-19.46,-6.925,,-19.362,-10.291,5.06,-3.14,-6.933,-7.194,-7.211,-17.143,3.088,-14.567,-0.087,-18.475,-16.986,-3.687,2.616,4.492,1.522,-10.028,-15.927
1981,-18.877,-20.201,-11.489,-11.859,-4.164,2.763,6.468,5.534,3.193,-1.693,-9.08,-15.06,-6.205,,-19.512,-9.171,4.922,-2.527,-6.572,-6.449,-6.56,-15.526,2.759,-13.216,0.035,-16.856,-14.517,-4.42,1.689,5.065,2.345,-8.611,-15.312
1982,-17.556,-26.729,-22.932,-13.832,-4.673,2.822,5.629,4.963,0.209,-4.163,-12.013,-24.506,-9.398,,-19.782,-13.812,4.472,-5.322,-8.611,-8.367,-8.161,-18.271,1.79,-15.269,-1.292,-22.406,-21.164,-5.227,1.26,3.6,0.336,-13.561,-13.898
1983,-30.185,-26.44,-22.751,-10.572,-5.007,2.802,5.567,4.292,1.616,-4.44,-14.406,-22.444,-10.164,,-27.044,-12.777,4.22,-5.744,-10.336,-10.137,-10.113,-23.179,1.854,-18.662,-0.82,-26.459,-19.921,-4.259,1.121,3.825,0.489,-13.763,-22.235
1984,-29.57,-27.823,-19.989,-12.943,-4.43,2.791,6.297,4.768,1.231,-3.102,-10.523,-22.595,-9.657,,-26.612,-12.454,4.619,-4.131,-9.645,-9.968,-10.08,-22.847,2.131,-18.802,-0.77,-25.794,-20.252,-4.861,1.553,4.099,0.966,-12.073,-22.14
1985,-17.067,-21.318,-20.694,-14.178,-2.883,4.819,5.964,5.935,2.713,-2.515,-7.608,-10.293,-6.427,,-20.327,-12.585,5.573,-2.47,-7.452,-7.695,-7.744,-18.439,3.31,-15.64,-0.021,-19.693,-18.73,-4.081,2.633,4.871,2.045,-6.805,-16.728
1986,-22.749,-17.593,-22.68,-10.518,-2.685,1.756,7.06,4.868,2.012,-8.242,-14.181,-23.571,-8.877,,-16.879,-11.961,4.561,-6.804,-7.77,-7.223,-6.745,-16.185,2.602,-13.422,-0.821,-21.008,-16.93,-3.816,2.044,4.647,-0.454,-15.331,-13.55
1987,-24.466,-24.013,-20.286,-13.355,-6.432,2.181,5.746,4.732,3.688,-2.781,-10.774,-18.056,-8.651,,-24.017,-13.358,4.22,-3.289,-9.111,-9.395,-9.85,-21.303,1.983,-18.302,-0.889,-22.922,-19.218,-5.869,0.498,4.722,1.88,-10.537,-20.739
1988,-25.888,-23.628,-18.079,-9.842,-3.781,2.654,5.835,5.776,2.641,-1.05,-9.836,-22.249,-8.121,,-22.524,-10.567,4.755,-2.748,-7.771,-7.849,-7.994,-19.285,2.625,-15.578,0.319,-22.532,-17.183,-3.656,1.57,4.751,2.456,-11.045,-18.239
1989,-27.375,-26.469,-24.572,-10.425,-6.091,2.873,6.441,4.983,0.592,-4.501,-8.354,-18.233,-9.261,,-25.364,-13.696,4.766,-4.088,-9.596,-9.719,-9.432,-22.1,1.76,-17.425,-0.875,-26.139,-20.489,-4.548,1.074,4.005,0.358,-10.363,-19.82
1990,-25.187,-27.588,-19.059,-14.677,-4.188,2.734,6.438,4.719,1.509,-4.682,-8.996,-22.94,-9.326,,-23.669,-12.641,4.63,-4.056,-8.934,-8.881,-8.866,-19.684,2.242,-16.8,-1.164,-23.945,-20.441,-5.377,1.661,4.222,0.516,-12.206,-17.258
1991,-27.844,-25.524,-19.037,-13.898,-4.878,3.973,6.915,6.173,1.642,-3.697,-7.469,-19.788,-8.619,,-25.436,-12.604,5.687,-3.174,-8.882,-9.009,-9.091,-20.868,2.765,-17.56,-0.539,-24.135,-19.486,-4.934,2.003,4.91,1.373,-10.318,-19.927
1992,-22.74,-29.009,-21.578,-14.384,-6.202,0.828,5.762,5.358,1.385,-1.872,-15.814,-22.918,-10.099,,-23.846,-14.055,3.983,-5.433,-9.838,-9.142,-9.294,-20.117,1.426,-16.952,-1.304,-24.442,-21.657,-6.586,0.129,4.169,1.624,-13.534,-16.666
1993,-27.691,-29.405,-22.348,-14.864,-3.085,3.033,5.726,5.576,1.776,-2.724,-13.729,-23.049,-10.065,,-26.671,-13.432,4.778,-4.892,-10.054,-10.228,-10.157,-23.635,2.605,-19.273,-0.652,-26.481,-22.206,-4.972,1.891,4.359,1.543,-13.167,-22.141
1994,-24.386,-23.136,-22.028,-10.301,-1.844,3.417,5.809,4.693,2.278,-1.802,-9.68,-18.538,-7.96,,-23.524,-11.391,4.64,-3.068,-8.336,-8.673,-8.75,-21.266,2.871,-17.05,0.322,-23.183,-18.488,-2.909,2.461,4.26,1.723,-10.007,-20.388
1995,-21.975,-25.392,-21.309,-7.739,-0.505,3.861,6.295,5.905,1.601,-2.213,-4.452,-18.871,-7.066,,-21.969,-9.851,5.354,-1.688,-7.039,-7.474,-7.44,-19.379,3.431,-15.205,1.029,-22.892,-18.147,-1.461,3.217,4.6,1.764,-8.512,-16.731
1996,-24.698,-19.59,-19.429,-6.888,-2.8,2.24,7.285,5.115,2.497,-3.351,-8.523,-13.659,-6.817,,-21.053,-9.706,4.88,-3.126,-7.251,-6.912,-6.817,-17.408,2.867,-13.734,0.585,-21.239,-15.302,-2.483,2.242,4.965,1.42,-8.511,-16.007
1997,-21.21,-27.27,-18.612,-13.096,-1.12,3.795,6.838,5.469,1.894,-2.802,-8.886,-16.001,-7.583,,-20.713,-10.943,5.367,-3.265,-7.388,-7.358,-7.404,-17.855,3.375,-15.103,0.14,-22.364,-19.659,-3.474,3.171,4.734,1.52,-9.23,-14.464
1998,-24.916,-26.913,-20.941,-9.994,-2.2,4.334,5.649,6.393,3.267,-2.914,-6.513,-15.314,-7.505,,-22.61,-11.045,5.459,-2.054,-7.562,-7.76,-7.751,-19.531,3.489,-15.779,0.648,-24.256,-19.283,-2.62,2.594,5.103,2.249,-8.247,-16.601
1999,-24.45,-24.651,-14.839,-7.93,-4.353,1.37,6.028,4.862,1.839,-4.568,-12.469,-13.941,-7.759,,-21.472,-9.041,4.087,-5.066,-7.873,-7.377,-7.239,-17.153,1.949,-13.802,-0.393,-21.313,-15.807,-3.638,1.015,4.243,0.711,-10.326,-15.426
2000,-24.669,-24.495,-17.847,-9.141,-3.926,2.006,7.574,6.81,2.269,-4.036,-6.749,-10.578,-6.898,,-21.035,-10.304,5.463,-2.839,-7.179,-7.655,-7.7,-18.684,2.947,-15.304,0.222,-22.337,-17.161,-3.687,1.885,5.551,1.681,-7.121,-17.027
2001,-26.084,-23.835,-13.702,-9.732,-2.426,2.555,7.551,5.586,2.189,-2.563,-9.922,-12.576,-6.913,,-20.166,-8.62,5.231,-3.432,-6.747,-6.482,-6.605,-16.19,3.091,-13.531,0.451,-21.207,-15.756,-3.201,2.56,5.108,1.737,-8.354,-14.47
2002,-24.756,-26.292,-21.413,-11.882,-3.125,3.105,6.797,6.02,2.085,-1.602,-8.08,-14.158,-7.775,,-21.208,-12.14,5.307,-2.532,-7.643,-7.797,-7.877,-18.992,2.976,-15.629,0.2,-24.154,-19.862,-3.967,2.259,4.967,2.168,-7.946,-15.752
2003,-18.572,-27.668,-20.017,-10.852,-0.57,2.693,7.418,6.779,3.456,-1.455,-7.041,-13.21,-6.587,,-20.133,-10.48,5.63,-1.68,-6.666,-6.752,-6.764,-17.699,3.955,-14.421,1.067,-22.086,-19.512,-2.91,3.181,5.885,2.927,-7.236,-13.603
2004,-21.031,-19.88,-22.564,-12.072,-1.295,2.913,6.891,5.441,2.28,-0.826,-6.902,-20.914,-7.33,,-18.04,-11.977,5.082,-1.816,-6.688,-6.7,-6.752,-16.745,3.246,-13.893,0.476,-21.158,-18.172,-3.485,2.836,4.871,2.298,-9.547,-13.761
2005,-27.064,-21.155,-13.916,-7.476,-2.054,2.807,5.918,5.816,2.49,-0.385,-6.411,-17.487,-6.576,,-23.044,-7.815,4.847,-1.436,-6.862,-6.903,-6.94,-17.99,2.995,-14.036,1.016,-20.711,-14.182,-2.241,2.224,4.741,2.64,-8.094,-18.293
2006,-23.117,-18.052,-12.774,-9.264,-0.308,3.725,7.259,6.24,2.847,-0.26,-7.217,-14.75,-5.473,,-19.552,-7.449,5.741,-1.544,-5.701,-5.634,-5.644,-15.568,3.952,-12.499,1.463,-17.981,-13.363,-1.949,3.559,5.448,2.942,-7.409,-15.672
2007,-20.882,-16.53,-19.05,-10.98,-5.488,2.727,6.027,6.31,2.052,-2.892,-8.516,-19.249,-7.206,,-17.387,-11.84,5.021,-3.119,-6.831,-6.723,-6.504,-15.686,2.326,-12.81,-0.321,-18.821,-15.52,-4.58,1.089,4.796,1.823,-10.219,-14.283
2008,-23.067,-24.475,-18.911,-9.743,0.548,3.708,7.816,6.061,2.062,-1.59,-10.55,-19.906,-7.337,,-22.264,-9.369,5.862,-3.359,-7.282,-7.113,-7.221,-18.844,4.039,-15.265,1.266,-22.151,-17.71,-1.829,4.024,5.313,2.178,-10.682,-16.944
2009,-21.413,-21.239,-18.148,-11.587,-4.421,2.561,8.762,6.598,1.827,-4.073,-9.169,-9.773,-6.673,,-20.852,-11.385,5.974,-3.805,-7.517,-7.632,-7.425,-18.251,3.065,-14.919,-0.048,-20.266,-16.991,-4.483,2.301,5.729,1.451,-7.672,-17.29
2010,-18.257,-12.476,-15.723,-7.922,-1.163,3.875,7.304,7.747,4.302,0.766,-1.566,-5.34,-3.204,,-13.502,-8.269,6.309,1.167,-3.574,-4.207,-4.611,-13.08,4.413,-11.056,2.13,-15.485,-12.04,-1.737,3.339,6.451,4.272,-2.047,-12.4
2011,-14.016,-23.063,-18.834,-13.788,-4.415,3.45,7.391,5.814,2.726,-2.675,-7.374,-13.942,-6.561,,-14.14,-12.346,5.551,-2.441,-5.844,-5.36,-5.073,-12.564,2.993,-10.835,-0.214,-18.638,-18.562,-4.918,2.142,5.31,1.955,-7.997,-6.974
2012,-22.734,-22.127,-20.352,-10.311,-0.993,4.889,6.319,6.019,3.272,-1.818,-7.667,-14.391,-6.658,,-19.601,-10.552,5.742,-2.071,-6.62,-6.596,-6.667,-17.306,3.901,-14.216,1.054,-21.738,-17.597,-2.138,3.405,5.203,2.491,-7.959,-14.683
2013,-21.842,-20.145,-13.377,-8.312,-5.2,2.755,5.389,6.097,1.758,-1.308,-11.129,-19.078,-7.033,,-18.793,-8.963,4.747,-3.56,-6.642,-6.354,-6.396,-15.484,2.16,-12.507,0.168,-18.455,-13.945,-3.586,0.981,4.415,2.182,-10.505,-14.633
2014,-17.111,-22.325,-21.169,-13.203,-1.012,3.615,7.42,7.061,1.738,-2.171,-9.13,-15.132,-6.785,,-19.505,-11.795,6.032,-3.188,-7.114,-7.28,-7.209,-18.163,3.764,-15.046,0.493,-20.202,-18.899,-3.533,3.341,5.406,2.209,-8.811,-15.773
2015,-25.469,-26.827,-20.968,-11.396,-3.157,1.473,4.007,4.633,1.845,-3.766,-10.17,-20.036,-9.153,,-22.476,-11.84,3.371,-4.031,-8.744,-8.657,-8.524,-19.505,1.76,-15.871,-0.909,-24.422,-19.73,-4.36,0.774,3.495,0.904,-11.324,-16.577
2016,-19.624,-20.397,-19.495,-9.747,-0.884,3.996,5.508,6.171,2.338,-3.402,-8.819,-19.829,-7.015,,-20.019,-10.042,5.225,-3.294,-7.033,-7.145,-7.176,-17.945,3.426,-14.748,0.568,-19.839,-16.546,-2.212,2.873,4.672,1.702,-10.683,-16.61
2017,-19.132,-24.014,-19.677,-12.349,-2.126,3.292,5.452,6.128,2.211,-1.717,-6.758,-13.879,-6.881,,-20.992,-11.384,4.957,-2.088,-7.377,-7.548,-7.689,-18.294,2.991,-15.317,0.127,-20.941,-18.68,-3.728,2.206,4.597,2.207,-7.452,-15.926
2018,-24.024,-24.606,-12.991,-10.975,-6.269,2.09,6.381,5.345,1.831,-4.846,-9.328,-15.119,-7.709,,-20.837,-10.078,4.605,-4.114,-7.606,-7.392,-7.131,-16.452,1.876,-13.564,-0.92,-20.54,-16.191,-5.051,0.734,4.519,0.777,-9.764,-14.887
2019,-22.277,-20.853,-18.251,-9.525,0.665,4.704,6.092,5.734,3.573,0.576,-5.685,-12.639,-5.657,,-19.416,-9.037,5.51,-0.512,-5.864,-6.167,-6.619,-17.166,4.154,-14.314,1.688,-20.461,-16.21,-1.386,3.82,5.133,3.294,-5.916,-15.575
2020,-23.529,-25.185,-17.651,-9.448,-2.222,3.138,8.099,7.228,2.204,-1.897,-8.456,-11.685,-6.617,,-20.451,-9.774,6.155,-2.716,-6.697,-6.466,-6.259,-16.938,3.689,-13.366,1.015,-22.122,-17.428,-2.844,3.005,5.844,2.512,-7.346,-13.951
2021,-15.991,-17.546,-19.323,-6.845,-1.04,2.713,6.649,5.447,2.173,1.263,-6.462,-12.161,-5.094,,-15.074,-9.07,4.937,-1.009,-5.054,-5.22,-5.483,-14.6,3.188,-11.678,1.48,-17.62,-14.572,-1.724,2.774,4.756,2.961,-5.787,-12.044
2022,-22.786,-25.759,-17.351,-9.866,-3.989,5.591,6.964,5.775,3.758,-1.067,-10.779,-11.434,-6.745,,-20.235,-10.402,6.11,-2.696,-6.806,-6.446,-6.252,-16.904,3.62,-13.303,1.024,-21.965,-17.659,-2.755,2.855,5.499,2.822,-7.76,-13.803
2023,-23.422,-28.774,-13.97,-8.325,-2.409,3.657,6.155,6.935,2.892,-0.964,-4.361,-9.874,-6.038,,-21.21,-8.234,5.583,-0.811,-6.168,-6.703,-6.712,-17.676,3.446,-13.967,1.134,-22.055,-17.023,-2.359,2.468,5.327,2.954,-5.067,-15.212
2024,-17.512,-22.32,-16.497,-6.486,-2.153,2.113,6.006,-999,-999,-999,-999,-999,-999,,-16.569,-8.379,-999,-999,-999,-999,-999,-14.113,-999,-11.145,-999,-18.777,-15.101,-2.175,1.988,-999,-999,-999,-10.583
